codigo,nombre,wc_id,stock_anterior,stock_nuevo,status_nuevo,resultado
608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,18194,245,244,instock,OK
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",9200,97,96,instock,OK
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,19062,33,32,instock,OK
703556204808,COLAGENO DR. JOINT PROFESSIONAL JOINT SUPPORT TUTTI FRUTTI 52 SERV. IMPULSE,128,53,52,instock,OK
703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,18188,32,30,instock,OK
705016353422,ISO 100 COCOA PEBBLES 3 LBS DYMATIZE,19229,10,11,instock,OK
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,20388,185,184,instock,OK
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,18858,55,56,instock,OK
713101732113,ULTRA VEGANA VAINILLA 3 LBS IMPULSE,18862,25,27,instock,OK
713101732137,ULTRA VEGANA STRAWERRY ICE CREAM 3 LBS IMPULSE,18863,11,10,instock,OK
745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",108,25,24,instock,OK
745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,18187,73,72,instock,OK
745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,18192,241,240,instock,OK
748927028652,GOLD STANDAR WHEY VAINILLA ICE CREAN 1.98 LBS,19819,24,23,instock,OK
748927051308,AMINO ENERGY WATERMELON 585G,19875,104,103,instock,OK
748927060140,GOLD STANDAR WHEY DOBLE RICH 1.47 LBS 22 SERVING,19828,1,0,outofstock,OK
748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,19085,82,77,instock,OK
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,19087,391,389,instock,OK
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,19084,371,369,instock,OK
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,19089,456,448,instock,OK
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,19088,394,391,instock,OK
748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,19073,1233,1231,instock,OK
817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,21335,21,20,instock,OK
842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,20466,85,84,instock,OK
842595106619,C4 PERFORMANCE ENERGY 16OZ ARCTIC SNOW CONE,20431,43,42,instock,OK
842595121766,C4 PERFORMANCE COSMIC RAINBOW,20471,118,117,instock,OK
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,20467,2903,2899,instock,OK
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,20447,70,69,instock,OK
842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,20445,35,34,instock,OK
842595135541,C4 PERFORMANCE CHERRY BOMB FROST,20446,33,31,instock,OK
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,20449,64,62,instock,OK
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,13114,356,352,instock,OK
850030689016,ASHWAGANDHA KSM-66 REVIVE,11248,17,16,instock,OK
850057175356,CBUM-ITHOLATE-PROTEIN-VANILLA-OA TMEAL COOKIE - 5LB (ISOLATADA),19023,2,0,outofstock,OK
853237000738,PROTEINA ISOFIT COOKIES &CREAM 30 SERV. NUTREX,19780,7,61,instock,OK
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,268,1808,1805,instock,OK
853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,19792,3,2,outofstock,OK
859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,19781,58,57,instock,OK
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),20406,730,728,instock,OK
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),20407,703,701,instock,OK
891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),20408,761,760,instock,OK
