id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price
19737,19734,variation,810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,15,15,instock,instock,True,49.99,49.99
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1611,1611,instock,instock,True,24.99,24.99
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),682,682,instock,instock,True,57.6,5.00
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,91,91,instock,instock,True,32.99,32.99
19045,19043,variation,850016779366,BROWNIE + COLLAGEN RED VELVET,0,0,outofstock,outofstock,True,4,4.00
19263,19253,variation,810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,5,5,outofstock,outofstock,True,45.99,45.99
19243,19242,variation,817189022750,EVOFUSION VANILLA BEAN ICE CREAM 4.6 LBS EVOGEN,0,0,outofstock,outofstock,True,89.99,89.99
18188,18186,variation,703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,24,24,instock,instock,True,95.99,95.99
19819,19817,variation,748927028652,GOLD STANDAR WHEY VAINILLA ICE CREAN 1.98 LBS,17,17,instock,instock,True,58.99,58.99
13380,0,simple,810014679426,MULTIVITAMINAS 120 CAPSULAS,3,3,outofstock,outofstock,True,29.99,29.99
21547,21545,variation,650076635202,BCCA GRAPE FLAVOR 30 SERVING,87,87,instock,instock,True,29.99,29.99
18958,18955,variation,631656716979,MASS TECH -EXTREME 2000- VAINILLA 2000 6 LBS MUSCLETECH,2,2,outofstock,outofstock,True,52.99,52.99
19736,19734,variation,817189027793,LIPOCIDE- IR FRUIT PONCHS-EVOGEN,37,37,instock,instock,True,49.99,49.99
19405,19402,variation,810121057254,EVP XTREME N.O CITRUS CANDY-EVOGEN,4,4,outofstock,outofstock,True,49.99,49.99
11154,0,simple,829263227135,DTOX KIDNEY DETOXIFIER MUSCLEOLOGY,39,39,instock,instock,True,26.99,26.99
19023,19004,variation,850057175356,CBUM-ITHOLATE-PROTEIN-VANILLA-OA TMEAL COOKIE - 5LB (ISOLATADA),0,0,outofstock,outofstock,True,99.99,99.99
128,0,simple,703556204808,COLAGENO DR. JOINT PROFESSIONAL JOINT SUPPORT TUTTI FRUTTI 52 SERV. IMPULSE,42,42,instock,instock,True,52.99,52.99
20475,20464,variation,842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,199,199,instock,instock,True,45.6,3.80
19877,19871,variation,748927022940,AMINO ENERGY CONCOR GRAPE 585G,102,102,instock,instock,True,59.99,59.99
19404,19402,variation,810121058961,EVP XTREME BLACK BERRY LEMONADA,11,11,instock,instock,True,49.99,49.99
18858,18854,variation,713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,59,59,instock,instock,True,106.99,106.99
19011,19008,variation,612590415845,"PREMIUM WHEY STRAWBERRY 2,06 LBS-LANDERFIT",1,1,outofstock,outofstock,True,38.99,38.99
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,90,90,instock,instock,True,95.99,95.99
19073,19071,variation,748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,1209,1209,instock,instock,True,57.6,4.00
19085,19081,variation,748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,42,42,instock,instock,True,43.2,3.60
14440,0,simple,612590416200,ULTRA GLUTAMINA 60 SERVING- LANDERFIT,0,0,outofstock,outofstock,True,25.99,25.99
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,18,18,instock,instock,True,22.99,22.99
19756,19744,variation,810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,3,3,outofstock,outofstock,True,58.99,58.99
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,291,291,instock,instock,True,44.99,44.99
9546,0,simple,850046504723,"TRIBULUS 1400, 90 CAPSULAS NUTREX",1,1,outofstock,outofstock,True,29.99,29.99
18913,18910,variation,181030000168,XTEND ORIGINAL 90 SERV. BLUE RASBERRY ICE,6,6,outofstock,outofstock,True,59.99,59.99
19280,19277,variation,810121057018,HIDRATACION TANGERINE 30M SERVING,17,17,instock,instock,True,35.99,35.99
19735,19734,variation,810121056141,LIPOCIDE-IR TANGERINE-EVOGEN,20,20,instock,instock,True,49.99,49.99
19305,19304,variation,8101210579694,EVP 3D JUCY GRAPPE EVOGEN,9,9,instock,instock,True,49.99,49.99
20473,20464,variation,842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,60,60,instock,instock,True,45.6,3.80
19260,19253,variation,817189025393,AMINO K.E.M TROPIC TUNDER-EVOGEN,11,11,instock,instock,True,45.99,45.99
18193,18186,variation,745560722169,PROLIVE BIO5 CHOCO COCO DE 5 LBS IMPULSE,0,0,outofstock,outofstock,True,95.99,95.99
19227,19225,variation,705016353231,ISO 100 FUDGE BROWNIE 3 LIBRAS DYMATIZE,2,2,outofstock,outofstock,True,95.99,95.99
19190,19183,variation,705016353439,ISO 100 FRUTY PEBLLES 5 LBS DYMATIZE,13,13,instock,instock,True,140,140.00
19959,9171,variation,799142775005,AMINO REVOLUTION + ELECTROLITROS COCONUT 30 SERVI-LANDERFIT,1,1,outofstock,outofstock,True,29.99,29.99
19290,19289,variation,7503029523006,GLYCOJET CHERRY- EVOGEN,12,12,instock,instock,True,54.99,54.99
21458,0,simple,650076635196,BCCA FRUIT PONCHS FLAVOR 30 SERVING,78,78,instock,instock,True,29.99,29.99
19257,19253,variation,810121054857,AMINO K.E.M VICTORY PUNCHS- EVOGEN,4,4,outofstock,outofstock,True,49.99,49.99
9215,0,simple,799142775432,DIURETICO 40 CAPSULAS LANDERFIT,15,15,instock,instock,True,20.13,20.13
8554,0,simple,891597002542,PROTEINA 4 LBS CHOCOLATE CARNIVOR (MUSCLE MEDS),0,0,outofstock,outofstock,True,69.99,69.99
19801,19800,variation,850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,117,117,instock,instock,True,48.99,52.99
11853,0,simple,817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,13,13,instock,instock,True,29.99,29.99
20432,20430,variation,842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,61,61,instock,instock,True,3.80,3.80
19047,19043,variation,850016779359,BROWNIE +COLLAGEN BIRTHDAY CAKE BLONDIE,9,9,instock,instock,True,4,4.00
13393,0,simple,811445020405,ZMA PRIMA FORCE ABOLIC MINERAL SUPORT 180 CAPSULAS,2,2,outofstock,outofstock,True,26.5,26.50
9723,0,simple,666222097404,SUPER FAT BURNER + (MHP),61,61,instock,instock,True,19.99,19.99
21626,21625,variation,705016354207,ISO 100 FRUITY PEBBLES 20 SERV. 1.6 LBS 24 SERVING DYMATIZE,339,339,instock,instock,True,54.99,54.99
21456,0,simple,810069201535,ANGRY SUPLEMENTS CREATINA 300 MG,511,511,instock,instock,True,24.99,24.99
19261,19253,variation,817189028264,AMINO K.E.M BLUEBERRY APPLE-EVOGEN,4,4,outofstock,outofstock,True,45.99,45.99
19192,19183,variation,705016353187,ISO 100 GURMET CHOCOLATE 5 LBS DYMATIZE,0,0,outofstock,outofstock,True,140,140.00
13384,0,simple,810014679488,RESVERATROL 700 MG 120 CAPSULA,10,10,instock,instock,True,39.99,39.99
19410,19402,variation,817189029117,EVP XTREME SMASHIN PASSION ORANGE,6,6,outofstock,outofstock,True,49.99,49.99
19875,19871,variation,748927051308,AMINO ENERGY WATERMELON 585G,94,94,instock,instock,True,59.99,59.99
19313,19304,variation,817189029100,EVP 3D SMASHIN PASSION ORANGE-EVOGEN,9,9,instock,instock,True,49.99,49.99
19010,19008,variation,612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,12,12,instock,instock,True,38.99,38.99
19311,19304,variation,810121053560,EVP 3D STRAWBERRY LEMONADE-EVOGEN,7,7,instock,instock,True,49.99,49.99
9602,0,simple,850039445668,RAW-ESSENTIAL - PRE-WORKOUT ORANGE 30 SERVING,772,772,instock,instock,True,47.99,47.99
19416,19402,variation,810121058695,EVP XTREME PATRIOT POP,2,2,outofstock,outofstock,True,49.99,49.99
19291,19289,variation,817189020176,GLYCOJET WATERMELON,7,7,instock,instock,True,54.99,54.99
19292,19289,variation,817189020190,GLYCOJET UN FLAVORED,9,9,instock,instock,True,54.99,54.99
19229,19225,variation,705016353422,ISO 100 COCOA PEBBLES 3 LBS DYMATIZE,10,10,instock,instock,True,95.99,95.99
19760,19744,variation,810121056738,ISOJECT TIRAMISU 1.76 LBS ISOJET EVOGEN,1,1,outofstock,outofstock,True,58.99,58.99
19312,19304,variation,817189024617,EVP 3D PEACH RINGS-EVOGEN,4,4,outofstock,outofstock,True,49.99,49.99
20474,20464,variation,842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,36,36,instock,instock,True,45.6,3.80
19413,19402,variation,817189028530,EVP XTREMEN.O. SOUR CANDY-EVOGEN,2,2,outofstock,outofstock,True,49.99,49.99
19758,19744,variation,810121056707,ISOJECT OATMEAL COOKIE 1.76 LBS ISOJET EVOGEN,1,1,outofstock,outofstock,True,58.99,58.99
19057,19055,variation,860008634467,PROTEIN COOKIE PEANUT BUTTER,9,9,instock,instock,True,4,4.00
21392,21391,variation,811662029496,MASS EXTREME 2500 TRIPLE CHOCOLATE MUTANT,55,55,instock,instock,True,49.99,49.99
13368,0,simple,810014671666,ALPHA LIPOIC ACID 600 MG 120 CAPSULAS,10,10,instock,instock,True,31.95,31.95
19314,19304,variation,810121050798,EVP 3D ICED MOCHA COFFE-EVOGEN,7,7,instock,instock,True,49.99,49.99
11255,0,simple,850030689450,VITAMIN D3 REVIVE,48,48,instock,instock,True,20.99,20.99
20385,19183,variation,705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,150,150,instock,instock,True,140,140.00
18871,18869,variation,745560722039,L- CARNITINA 3500 MANGO ALEGRE IMPULSE,0,0,outofstock,outofstock,True,29.99,29.99
14431,0,simple,612590415777,MULTI PAHSE MULTIVITAMIN 90 CAPSULAS- LANDERFIT,23,23,instock,instock,True,25.99,25.99
18979,18977,variation,850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,58,58,instock,instock,True,74.99,74.99
13373,0,simple,810014671659,COQ10 60 CAPSULAS,0,0,outofstock,outofstock,True,25.99,25.99
20407,11808,variation,891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),734,734,instock,instock,True,57.6,5.00
20447,20442,variation,842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,33,33,instock,instock,True,45.6,3.80
9200,0,simple,612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",81,81,instock,instock,True,21.99,21.99
21120,21118,variation,608631655271,AMINO ESENCIAL 52 SERV. 520G BERRY ICE TEA IMPULSE,3,3,outofstock,outofstock,True,32.99,32.99
8555,0,simple,666222941004,XPEL CAPS (MHP),55,55,instock,instock,True,25.99,25.99
18919,18917,variation,842595106084,C4 ORIGINAL ICE BLUE RAZZ 60 SERV (PRE-WORK) CELLUCOR,0,0,outofstock,outofstock,True,49.99,49.99
18892,18887,variation,703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,13,13,instock,instock,True,32.99,32.99
18875,18869,variation,703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,5,5,outofstock,outofstock,True,29.99,29.99
18863,18861,variation,713101732137,ULTRA VEGANA STRAWERRY ICE CREAM 3 LBS IMPULSE,9,9,instock,instock,True,78.99,78.99
19415,19402,variation,817189025270,EVP XTREME N.O.TROPIC THUNDER- EVOGEN,2,2,outofstock,outofstock,True,49.99,49.99
19780,19778,variation,853237000738,PROTEINA ISOFIT COOKIES &CREAM 30 SERV. NUTREX,49,49,instock,instock,True,59.99,62.99
19965,19963,variation,612590416651,REDS & GREENS PINA 30 SERVING- LANDERFIT,14,14,instock,instock,True,29.99,29.99
19838,19835,variation,748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,34,34,instock,instock,True,115.99,115.99
18934,18932,variation,7503013595776,WHEY PROTEIN 5 LBS DUTCH CHOCOLATE,7,7,instock,instock,True,75.99,75.99
19852,19843,variation,748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,29,29,instock,instock,True,32.99,32.99
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2583,2583,instock,instock,True,45.6,3.80
8901,0,simple,850049150262,ESSENTIAL-BURNER (QUEMADOR DE GRASA),4,4,outofstock,outofstock,True,29.99,29.99
21455,0,simple,650076635219,CREATINA 80 SERVING UNFLAVORED,403,403,instock,instock,True,29.99,29.99
19872,19871,variation,748927022902,AMINO ENERGY ORANGE 585G,70,70,instock,instock,True,59.99,59.99
20471,20464,variation,842595121766,C4 PERFORMANCE COSMIC RAINBOW,107,107,instock,instock,True,45.6,3.80
19256,19253,variation,810121057988,AMINO K.E.M JUICY GRAPE-EVOGEN,5,5,outofstock,outofstock,True,45.99,45.99
19262,19253,variation,817189024532,AMINO K.E.M SOUR WATERMELON- EVOGEN,6,6,outofstock,outofstock,True,45.99,45.99
11236,0,simple,850030689214,MULTI VITAMIN REVIVE,5,5,outofstock,outofstock,True,44.99,44.99
18957,18955,variation,631656716962,MASS TECH EXTREME 2000-6 LBS TRIPLE CHOCOLATE BROWNIE,18,18,instock,instock,True,52.99,52.99
19837,19835,variation,748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,380,380,instock,instock,True,115.99,115.99
19792,19790,variation,853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,1,1,outofstock,outofstock,True,84.99,84.99
19431,19430,variation,7503029523005,CELL K.E.M PR V.2 TROPIC THUNDER -EVOGEN,16,16,instock,instock,True,54.99,54.99
19316,19304,variation,817189025386,EVP 3D SOUR WATERMELON- EVOGEN,6,6,outofstock,outofstock,True,49.99,49.99
18942,18941,variation,7503018110578,LEAN GAINER 12 LIBRAS DUTCH CHOCOLATE,0,0,outofstock,outofstock,True,79.99,79.99
19802,19800,variation,850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,99,99,instock,instock,True,48.99,52.99
19781,19778,variation,859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,45,45,instock,instock,True,59.99,62.99
19186,19183,variation,705016353170,ISO 100 STRAWERRY 5 LBS DYMATIZE,0,0,outofstock,outofstock,True,140,140.00
18873,18869,variation,745560722030,L- CARNITINA 3500 PIÑA COLADA IMPULSE,1,1,outofstock,outofstock,True,29.99,29.99
11224,0,simple,850030689153,OPTIZINC REVIVE,18,18,instock,instock,True,20.99,20.99
109,0,simple,745560722022,"GLUTA MAX GLUTAMINA MICRONISADA, 80 SERV. 400G (UNFLAVORED) IMPULSE",7,7,instock,instock,True,29.99,29.99
11831,0,simple,666222007984,ACTIVE TIME RELEASED SPORT (MHP),9,9,instock,instock,True,41.8,41.80
19293,19289,variation,810121053232,GLYCOJECT DE 2LB STRAWBERRY LEMONADE EVOGEN,8,8,instock,instock,True,54.99,54.99
