codigo,nombre,stock_actual,stock_nuevo,diferencia
608631655431,CREATINA STIM PRO WATERMELON IMPULSE,45,44,-1
608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,244,241,-3
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,26,25,-1
612590416033,MELATONINA 10 MG 120 CAPSULAS- LANDERFIT,22,21,-1
612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,19,17,-2
612590416446,VITAMINA C- 1000MG -LANDFERFIT,9,8,-1
612590416668,PREMIUN WHEY VAINILLA 26 SERVING- LANDERFIT,3,2,-1
612590416675,REDS & GREENS GREEN APPLE 30 SERV- LANDERFIT,29,27,-2
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,8,7,-1
703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,4,3,-1
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,56,55,-1
713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,34,37,3
745560722022,"GLUTA MAX GLUTAMINA MICRONISADA, 80 SERV. 400G (UNFLAVORED) IMPULSE",11,10,-1
745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,72,71,-1
745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,122,120,-2
745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,240,238,-2
748927060133,GOLD STANDAR WHEY VAINILLA ICE CREAM 1.5 LBS 22 SERVING,2,1,-1
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,389,386,-3
748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,332,344,12
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,369,366,-3
748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,369,368,-1
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,448,457,9
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,391,401,10
810014671666,ALPHA LIPOIC ACID 600 MG 120 CAPSULAS,12,11,-1
810014675367,NAC 120 CAPSULAS,64,62,-2
810121055113,VITAMIN D3 EVOGEN,31,30,-1
810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,20,19,-1
810121056417,ISOJECT CHOCOLATE PEANUTBUTTER BANANA 1.76 LBS ISOJET EVOGEN,2,1,-1
817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,20,19,-1
817189028264,AMINO K.E.M BLUEBERRY APPLE-EVOGEN,8,7,-1
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,46,42,-4
842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,96,107,11
842595121766,C4 PERFORMANCE COSMIC RAINBOW,117,116,-1
842595131253,C4 PERFORMANCE 16OZ CHERRY,91,103,12
842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,185,207,22
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2899,2902,3
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,69,68,-1
842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,34,31,-3
842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,81,80,-1
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,47,59,12
842595135541,C4 PERFORMANCE CHERRY BOMB FROST,31,28,-3
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,352,351,-1
850030689214,MULTI VITAMIN REVIVE,7,6,-1
850030689283,VITAMIN K2 & D3 REVIVE,5,2,-3
850030689450,VITAMIN D3 REVIVE,55,53,-2
850049150613,BETA ALANINE 60 SERVING RAW,6,5,-1
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1805,1801,-4
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,78,77,-1
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),728,738,10
891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),777,788,11
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),701,713,12
891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),760,771,11
