codigo,nombre,wc_id,stock_anterior,stock_nuevo,status_nuevo,resultado
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,19010,25,23,instock,OK
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",9200,96,95,instock,OK
612590416071,TRIBULUS TERRESTRIS STI 90-CAPSULAS- LANDERFIT,9208,23,22,instock,OK
650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,19063,61,59,instock,OK
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,19062,32,31,instock,OK
703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,18892,17,16,instock,OK
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,20388,184,181,instock,OK
745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,18191,92,91,instock,OK
748927023848,CREATINA ON POWDER MICRONISADA,11830,374,372,instock,OK
748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,19818,39,38,instock,OK
748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,19085,77,76,instock,OK
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,19087,386,395,instock,OK
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,19089,457,466,instock,OK
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,19074,1580,1578,instock,OK
810014679570,YOHIMBINE120 CAPSULAS,13391,81,80,instock,OK
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,11853,42,41,instock,OK
842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,20466,84,82,instock,OK
842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,20465,107,106,instock,OK
842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,20477,70,69,instock,OK
842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,20432,83,81,instock,OK
842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,20472,91,90,instock,OK
842595121766,C4 PERFORMANCE COSMIC RAINBOW,20471,116,115,instock,OK
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,20467,2902,2900,instock,OK
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,20447,68,67,instock,OK
842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,20478,86,85,instock,OK
842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,20473,80,79,instock,OK
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,20448,59,56,instock,OK
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,20449,62,61,instock,OK
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,268,1801,1797,instock,OK
859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,19781,57,56,instock,OK
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,19782,77,76,instock,OK
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),20406,738,735,instock,OK
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),20407,713,712,instock,OK
891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),20408,771,770,instock,OK
