codigo,nombre,stock_actual,stock_nuevo,diferencia
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,25,23,-2
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",96,95,-1
612590416071,TRIBULUS TERRESTRIS STI 90-CAPSULAS- LANDERFIT,23,22,-1
650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,61,59,-2
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,32,31,-1
703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,17,16,-1
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,184,181,-3
745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,92,91,-1
748927023848,CREATINA ON POWDER MICRONISADA,374,372,-2
748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,39,38,-1
748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,77,76,-1
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,386,395,9
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,457,466,9
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1580,1578,-2
810014679570,YOHIMBINE120 CAPSULAS,81,80,-1
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,42,41,-1
842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,84,82,-2
842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,107,106,-1
842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,70,69,-1
842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,83,81,-2
842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,91,90,-1
842595121766,C4 PERFORMANCE COSMIC RAINBOW,116,115,-1
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2902,2900,-2
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,68,67,-1
842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,86,85,-1
842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,80,79,-1
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,59,56,-3
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,62,61,-1
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1801,1797,-4
859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,57,56,-1
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,77,76,-1
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),738,735,-3
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),713,712,-1
891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),771,770,-1
