codigo,nombre,esperado,real,estado
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,23,23,OK
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",95,95,OK
612590416071,TRIBULUS TERRESTRIS STI 90-CAPSULAS- LANDERFIT,22,22,OK
650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,59,59,OK
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,31,31,OK
703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,16,16,OK
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,181,181,OK
745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,91,91,OK
748927023848,CREATINA ON POWDER MICRONISADA,372,372,OK
748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,38,38,OK
748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,76,76,OK
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,395,395,OK
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,466,466,OK
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1578,1578,OK
810014679570,YOHIMBINE120 CAPSULAS,80,80,OK
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,41,41,OK
842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,82,82,OK
842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,106,106,OK
842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,69,69,OK
842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,81,81,OK
842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,90,90,OK
842595121766,C4 PERFORMANCE COSMIC RAINBOW,115,115,OK
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2900,2900,OK
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,67,67,OK
842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,85,85,OK
842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,79,79,OK
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,56,56,OK
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,61,61,OK
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1797,1797,OK
859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,56,56,OK
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,76,76,OK
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),735,735,OK
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),712,712,OK
891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),770,770,OK
