id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,tipo_cambio
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,393,391,instock,instock,True,stock+/-
18191,18186,variation,745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,91,94,instock,instock,True,stock+/-
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1576,1575,instock,instock,True,stock+/-
13380,0,simple,810014679426,MULTIVITAMINAS 120 CAPSULAS,3,3,outofstock,instock,True,solo_status
19405,19402,variation,810121057254,EVP XTREME N.O CITRUS CANDY-EVOGEN,4,4,outofstock,instock,True,solo_status
11853,0,simple,817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,39,36,instock,instock,True,stock+/-
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),788,794,instock,instock,True,stock+/-
19756,19744,variation,810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,3,3,outofstock,instock,True,solo_status
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,387,391,instock,instock,True,stock+/-
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,119,120,instock,instock,True,stock+/-
19034,19029,variation,850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,4,0,outofstock,outofstock,True,stock+/-
21394,21391,variation,811662029502,MASS EXTREME 2500 COOKIES & CREAM MUTANT,0,60,instock,instock,False,stock+/-
18874,18869,variation,745560722183,L CARNITINA 3500 FRUIT PONCHS IMPULSE,3,3,outofstock,instock,True,solo_status
18958,18955,variation,631656716979,MASS TECH -EXTREME 2000- VAINILLA 2000 6 LBS MUSCLETECH,4,5,outofstock,outofstock,True,stock+/-
19263,19253,variation,810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,6,6,outofstock,instock,True,solo_status
18188,18186,variation,703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,30,34,instock,instock,True,stock+/-
19206,19205,variation,75016600694,ISO 100 DUNKIN GLAZED DONUT1.34 LBS DYMATIZE,2,2,outofstock,instock,True,solo_status
19757,19744,variation,810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,3,3,outofstock,instock,True,solo_status
9152,0,simple,612590416606,PROTEINA WOMENS CHOCOLATE BROWNIE 2.04 LBS LANDERFIT,1,1,outofstock,instock,True,solo_status
18865,18861,variation,713101732144,VEGANA ULTRA DE COCO 3 LBS IMPULSE,5,5,outofstock,instock,True,solo_status
18906,18903,variation,810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,15,14,instock,instock,True,stock+/-
19033,19029,variation,860007286919,PROTEINA ISOLATADA DE 2 LBS CINNAMON  CRUNCH CEREAL,6,6,outofstock,instock,True,solo_status
21393,21391,variation,811662029489,MASS EXTREME 2500 VAINILLA ICE CREAM MUTANT,0,59,instock,instock,False,stock+/-
18953,18946,variation,829263000028,NITRO UP BLEND 5 LBS - COOKIES & CREAM - MUSCLEOLOGY,6,6,outofstock,instock,True,solo_status
20476,20464,variation,842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,60,65,instock,instock,True,stock+/-
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,105,106,instock,instock,True,stock+/-
18978,18977,variation,850044753833,PROTEINA DE 4.8 LB COOKIE & CREAM PRIMEVAL LABS,63,62,instock,instock,True,stock+/-
18979,18977,variation,850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,66,64,instock,instock,True,stock+/-
19188,19183,variation,705016353446,ISO 100 COCOA PEBBLES 5 LBS DYMATIZE,6,6,outofstock,instock,True,solo_status
20449,20442,variation,842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,58,57,instock,instock,True,stock+/-
20445,20442,variation,842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,31,30,instock,instock,True,stock+/-
9546,0,simple,850046504723,"TRIBULUS 1400, 90 CAPSULAS NUTREX",2,1,outofstock,instock,True,stock+/-
18961,18960,variation,631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,2,2,outofstock,instock,True,solo_status
19024,19004,variation,850049150446,INT-CBUM-ITHOLATE-VANILLA-FL - 5LB (ISOLATADA),1,1,outofstock,instock,True,solo_status
18856,18854,variation,713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,46,49,instock,instock,True,stock+/-
19064,19061,variation,650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,115,117,instock,instock,True,stock+/-
18913,18910,variation,181030000168,XTEND ORIGINAL 90 SERV. BLUE RASBERRY ICE,6,6,outofstock,instock,True,solo_status
19758,19744,variation,810121056707,ISOJECT OATMEAL COOKIE 1.76 LBS ISOJET EVOGEN,2,2,outofstock,instock,True,solo_status
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,462,472,instock,instock,True,stock+/-
19406,19402,variation,810121057940,EVP XTREME N.O. JUCY GRAPPE-EVOGEN,5,5,outofstock,instock,True,solo_status
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1763,1760,instock,instock,True,stock+/-
13392,0,simple,810014671598,ZING CHELATE 120 CAPSULAS,2,2,outofstock,instock,True,solo_status
