id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,tipo_cambio
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,386,387,instock,instock,True,stock+/-
19236,19235,variation,817189028998,ISOJECT COOKIE AND CREAM 4 LBS EVOGEN,3,2,outofstock,instock,True,stock+/-
20473,20464,variation,842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,82,81,instock,instock,True,stock+/-
18871,18869,variation,745560722039,L- CARNITINA 3500 MANGO ALEGRE IMPULSE,9,8,instock,instock,True,stock+/-
21335,0,simple,817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,24,18,instock,instock,True,stock+/-
19056,19055,variation,860008634443,PROTEIN COOKIE CHOCOLATE CHIP,42,36,instock,instock,True,stock+/-
18192,18186,variation,745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,327,250,instock,instock,True,stock+/-
14421,0,simple,612590415852,GLUCOSAMINA 120 CAPSULAS- LANDERFIT,39,41,instock,instock,True,stock+/-
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,640,499,instock,instock,True,stock+/-
20448,20442,variation,842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,71,59,instock,instock,True,stock+/-
20469,20464,variation,842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,123,99,instock,instock,True,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1899,1897,instock,instock,True,stock+/-
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,108,115,instock,instock,True,stock+/-
20385,19183,variation,705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,108,106,instock,instock,True,stock+/-
18978,18977,variation,850044753833,PROTEINA DE 4.8 LB COOKIE & CREAM PRIMEVAL LABS,62,65,instock,instock,True,stock+/-
19057,19055,variation,860008634467,PROTEIN COOKIE PEANUT BUTTER,72,55,instock,instock,True,stock+/-
19757,19744,variation,810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,4,3,outofstock,instock,True,stock+/-
19851,19843,variation,748927051698,AMINO ENERGY STRAWBERRY LIMON 270 G,31,30,instock,instock,True,stock+/-
