id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price,tipo_cambio
109,0,simple,745560722022,"GLUTA MAX GLUTAMINA MICRONISADA, 80 SERV. 400G (UNFLAVORED) IMPULSE",6,5,outofstock,outofstock,True,29.99,29.99,stock+/-
11853,0,simple,817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,16,15,instock,instock,True,29.99,29.99,stock+/-
19747,19744,variation,810121056899,ISOJECT BIRTHDAY CAKE 1.71 LBS ISOJET EVOGEN,7,4,outofstock,instock,True,58.99,58.99,stock+/-
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,193,185,instock,instock,True,95.99,95.99,stock+/-
20472,20464,variation,842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,55,52,instock,instock,True,45.6,3.80,stock+/-
19872,19871,variation,748927022902,AMINO ENERGY ORANGE 585G,66,61,instock,instock,True,59.99,59.99,stock+/-
13154,0,simple,7500634000528,CREATINAMONOHIDRATADA 72 SERVING,19,16,instock,instock,True,29.99,29.99,stock+/-
19803,19800,variation,850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,103,107,instock,instock,True,52.99,52.99,stock+/-
19190,19183,variation,705016353439,ISO 100 FRUTY PEBLLES 5 LBS DYMATIZE,13,14,instock,instock,True,148.99,148.99,stock+/-
9200,0,simple,612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",78,76,instock,instock,True,21.99,21.99,stock+/-
18187,18186,variation,745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,88,89,instock,instock,True,95.99,95.99,stock+/-
19063,19061,variation,650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,46,47,instock,instock,True,95.99,95.99,stock+/-
19083,19081,variation,748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,216,207,instock,instock,True,43.2,3.60,stock+/-
19837,19835,variation,748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,313,306,instock,instock,True,115.99,115.99,stock+/-
20447,20442,variation,842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,31,43,instock,instock,True,45.6,3.80,stock+/-
21457,0,simple,850057175646,BUM ESENCIAL PERFORMANCE NO-STIM BLUE RATHBERRY,209,195,instock,instock,True,49.99,49.99,stock+/-
19064,19061,variation,650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,103,102,instock,instock,True,95.99,95.99,stock+/-
21547,21545,variation,650076635202,BCCA GRAPE FLAVOR 30 SERVING,80,79,instock,instock,True,29.99,29.99,stock+/-
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,207,199,instock,instock,True,43.2,3.60,stock+/-
21454,0,simple,810121050286,EVOFUSION CHOCOLATE PEANUTBUTTER 4.78 LBS EVOGEN,320,410,instock,instock,True,89.99,89.99,stock+/-
14421,0,simple,612590415852,GLUCOSAMINA 120 CAPSULAS- LANDERFIT,38,37,instock,instock,True,20.99,20.99,stock+/-
140,0,simple,811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,101,116,instock,instock,True,41.96,41.96,stock+/-
20445,20442,variation,842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,15,27,instock,instock,True,45.6,3.80,stock+/-
19848,19843,variation,748927069068,AMINO ENERGY TROPICAL SUNRISE 270 G,1,0,outofstock,outofstock,True,32.99,32.99,stock+/-
19802,19800,variation,850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,94,95,instock,instock,True,52.99,52.99,stock+/-
19749,19744,variation,810121056660,ISOJECT CHOCOLATE - 25 SRV EVOGEN,2,1,outofstock,outofstock,True,58.99,58.99,stock+/-
20475,20464,variation,842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,274,286,instock,instock,True,45.6,3.80,stock+/-
19756,19744,variation,810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,6,3,outofstock,outofstock,True,58.99,58.99,stock+/-
19873,19871,variation,748927023190,AMINO ENERGY BLUE RASPBERRY 585G,97,92,instock,instock,True,59.99,59.99,stock+/-
18891,18887,variation,608631655431,CREATINA STIM PRO WATERMELON IMPULSE,36,27,instock,instock,True,32.99,32.99,stock+/-
21456,0,simple,810069201535,ANGRY SUPLEMENTS CREATINA 300 MG,394,396,instock,instock,True,24.99,24.99,stock+/-
18189,18186,variation,703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,95,92,instock,instock,True,95.99,95.99,stock+/-
19072,19071,variation,748927066593,PROTEIN SHAKE CHOCOLATE 325 ML OPTIMUN NUTRICION,87,83,instock,instock,True,57.6,4.00,stock+/-
11248,0,simple,850030689016,ASHWAGANDHA KSM-66 REVIVE,13,12,instock,instock,True,29.99,29.99,stock+/-
19874,19871,variation,748927023374,AMINO ENERGY FRUIT FUSION 585G,98,95,instock,instock,True,59.99,59.99,stock+/-
18188,18186,variation,703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,46,45,instock,instock,True,95.99,95.99,stock+/-
19086,19081,variation,748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,218,217,instock,instock,True,43.2,3.60,stock+/-
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),674,740,instock,instock,True,57.6,5.00,stock+/-
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,76,90,instock,instock,True,32.99,32.99,stock+/-
21335,0,simple,817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,7,4,outofstock,instock,True,58.99,58.99,stock+/-
19819,19817,variation,748927028652,GOLD STANDAR WHEY VAINILLA ICE CREAN 1.98 LBS,7,6,outofstock,instock,True,58.99,58.99,stock+/-
20466,20464,variation,842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,64,75,instock,instock,True,45.6,3.80,stock+/-
19757,19744,variation,810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,6,3,outofstock,outofstock,True,58.99,58.99,stock+/-
19781,19778,variation,859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,43,38,instock,instock,True,62.99,62.99,stock+/-
108,0,simple,745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",502,500,instock,instock,True,29.99,29.99,stock+/-
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,238,236,instock,instock,True,43.2,3.60,stock+/-
19355,19354,variation,810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,12,11,instock,instock,True,34.99,34.99,stock+/-
19852,19843,variation,748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,27,26,instock,instock,True,32.99,32.99,stock+/-
21121,21118,variation,703556204907,BCCA+ GLUTAMINA 30 SERV 330G PINA COLADA IMPULSE (AMINO BCAA),78,66,instock,instock,True,29.99,29.99,stock+/-
14415,0,simple,703556204785,CORESHIELD -XR MULTIVITAMINAS,43,41,instock,instock,True,24.99,24.99,stock+/-
20478,20464,variation,842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,52,53,instock,instock,True,45.6,3.80,stock+/-
20468,20464,variation,842595131628,C4 PERFORMANCE 16OZ CREAMISCLE,114,123,instock,instock,True,45.6,3.80,stock+/-
19737,19734,variation,810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,15,14,instock,instock,True,49.99,49.99,stock+/-
19779,19778,variation,853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,54,52,instock,instock,True,62.99,62.99,stock+/-
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,232,234,instock,instock,True,44.99,44.99,stock+/-
20408,11808,variation,891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),738,759,instock,instock,True,57.6,5.00,stock+/-
20407,11808,variation,891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),713,729,instock,instock,True,57.6,5.00,stock+/-
19818,19817,variation,748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,30,29,instock,instock,True,58.99,58.99,stock+/-
20476,20464,variation,842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,85,84,instock,instock,True,45.6,3.80,stock+/-
20470,20464,variation,842595131253,C4 PERFORMANCE 16OZ CHERRY,62,74,instock,instock,True,45.6,3.80,stock+/-
21455,0,simple,650076635219,CREATINA 80 SERVING UNFLAVORED,378,343,instock,instock,True,29.99,29.99,stock+/-
20448,20442,variation,842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,53,50,instock,instock,True,45.6,3.80,stock+/-
21460,0,simple,650076635226,GLUTAMINE 80SERVING UNFLAVORED,452,446,instock,instock,True,29.99,29.99,stock+/-
20406,11808,variation,891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),705,752,instock,instock,True,57.6,5.00,stock+/-
11255,0,simple,850030689450,VITAMIN D3 REVIVE,47,46,instock,instock,True,20.99,20.99,stock+/-
18892,18887,variation,703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,9,7,instock,instock,True,32.99,32.99,stock+/-
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,80,78,instock,instock,True,95.99,95.99,stock+/-
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,14,19,instock,instock,True,22.99,22.99,stock+/-
20465,20464,variation,842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,89,90,instock,instock,True,45.6,3.80,stock+/-
14422,0,simple,799142775449,HORMONAL BALANCE 90 CAPSULAS- LANDERFIT,49,52,instock,instock,True,24.99,24.99,stock+/-
21626,21625,variation,705016354207,ISO 100 FRUITY PEBBLES 20 SERV. 1.34 LBS 24 SERVING DYMATIZE,280,260,instock,instock,True,56.99,56.99,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1459,1485,instock,instock,True,24.99,24.99,stock+/-
19084,19081,variation,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,207,198,instock,instock,True,43.2,3.60,stock+/-
19877,19871,variation,748927022940,AMINO ENERGY CONCOR GRAPE 585G,100,98,instock,instock,True,59.99,59.99,stock+/-
14431,0,simple,612590415777,MULTI PAHSE MULTIVITAMIN 90 CAPSULAS- LANDERFIT,22,20,instock,instock,True,25.99,25.99,stock+/-
19073,19071,variation,748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,1143,1097,instock,instock,True,57.6,4.00,stock+/-
18855,18854,variation,713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,121,122,instock,instock,True,106.99,106.99,stock+/-
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1509,1581,instock,instock,True,57.6,4.00,stock+/-
9602,0,simple,850039445668,RAW-ESSENTIAL - PRE-WORKOUT ORANGE 30 SERVING,760,780,instock,instock,True,47.99,47.99,stock+/-
18192,18186,variation,745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,209,207,instock,instock,True,95.99,95.99,stock+/-
19964,19963,variation,612590416675,REDS & GREENS GREEN APPLE 30 SERV- LANDERFIT,24,23,instock,instock,True,29.99,29.99,stock+/-
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2216,2209,instock,instock,True,45.6,3.80,stock+/-
20474,20464,variation,842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,32,29,instock,instock,True,45.6,3.80,stock+/-
19849,19843,variation,748927062113,AMINO ENERGY BLUEBERRY LIMON 270 G,7,4,outofstock,instock,True,32.99,32.99,stock+/-
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,155,146,instock,instock,True,43.2,3.60,stock+/-
18865,18861,variation,713101732144,VEGANA ULTRA DE COCO 3 LBS IMPULSE,4,5,outofstock,outofstock,True,78.99,78.99,stock+/-
20471,20464,variation,842595121766,C4 PERFORMANCE COSMIC RAINBOW,114,125,instock,instock,True,45.6,3.80,stock+/-
18195,18186,variation,703556204815,PROLIVE BIO5 BUTTER BLASTER DE 5 LBS IMPULSE,123,121,instock,instock,True,95.99,95.99,stock+/-
