id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price,tipo_cambio
14415,0,simple,703556204785,CORESHIELD -XR MULTIVITAMINAS,41,40,instock,instock,True,24.99,24.99,stock+/-
21393,21391,variation,811662029489,MASS EXTREME 2500 VAINILLA ICE CREAM MUTANT,48,47,instock,instock,True,49.99,49.99,stock+/-
18858,18854,variation,713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,50,49,instock,instock,True,106.99,106.99,stock+/-
20385,19183,variation,705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,137,135,instock,instock,True,148.99,148.99,stock+/-
9200,0,simple,612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",74,73,instock,instock,True,21.99,21.99,stock+/-
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2171,2167,instock,instock,True,45.6,3.80,stock+/-
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,154,153,instock,instock,True,43.2,3.60,stock+/-
108,0,simple,745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",500,499,instock,instock,True,29.99,29.99,stock+/-
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,310,295,instock,instock,True,39.99,39.99,stock+/-
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,56,54,instock,instock,True,43.2,3.60,stock+/-
20448,20442,variation,842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,37,34,instock,instock,True,45.6,3.80,stock+/-
19837,19835,variation,748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,378,377,instock,instock,True,115.99,115.99,stock+/-
19801,19800,variation,850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,113,112,instock,instock,True,52.99,52.99,stock+/-
19802,19800,variation,850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,95,94,instock,instock,True,52.99,52.99,stock+/-
20478,20464,variation,842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,46,45,instock,instock,True,45.6,3.80,stock+/-
19073,19071,variation,748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,1079,1078,instock,instock,True,57.6,4.00,stock+/-
20472,20464,variation,842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,51,50,instock,instock,True,45.6,3.80,stock+/-
19964,19963,variation,612590416675,REDS & GREENS GREEN APPLE 30 SERV- LANDERFIT,23,22,instock,instock,True,29.99,29.99,stock+/-
21626,21625,variation,705016354207,ISO 100 FRUITY PEBBLES 20 SERV. 1.34 LBS 24 SERVING DYMATIZE,258,256,instock,instock,True,56.99,56.99,stock+/-
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,187,186,instock,instock,True,95.99,95.99,stock+/-
18891,18887,variation,608631655431,CREATINA STIM PRO WATERMELON IMPULSE,29,28,instock,instock,True,32.99,32.99,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1396,1383,instock,instock,True,24.99,24.99,stock+/-
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,223,222,instock,instock,True,44.99,44.99,stock+/-
19782,19778,variation,859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,60,59,instock,instock,True,62.99,62.99,stock+/-
20474,20464,variation,842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,28,27,instock,instock,True,45.6,3.80,stock+/-
21456,0,simple,810069201535,ANGRY SUPLEMENTS CREATINA 300 MG,393,392,instock,instock,True,24.99,24.99,stock+/-
20469,20464,variation,842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,54,52,instock,instock,True,45.6,3.80,stock+/-
20465,20464,variation,842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,40,38,instock,instock,True,45.6,3.80,stock+/-
20466,20464,variation,842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,71,70,instock,instock,True,45.6,3.80,stock+/-
