sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,wc_price,inv_price,price_change,cambiara
842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,variation,52,instock,51,instock,-1,45.6,3.80,SI,SI
7503013595776,WHEY PROTEIN 5 LBS DUTCH CHOCOLATE,variation,6,outofstock,5,outofstock,-1,75.99,75.99,no,SI
745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",simple,499,instock,498,instock,-1,29.99,29.99,no,SI
817189024617,EVP 3D PEACH RINGS-EVOGEN,variation,4,outofstock,4,outofstock,0,49.99,49.99,no,no
799142775395,MUSCLE PUMP FRUIT PUNCH 30 SERV LANDERFIT,simple,0,outofstock,0,outofstock,0,29.99,29.99,no,no
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,variation,32,instock,32,instock,0,45.6,3.80,SI,SI
748927051698,AMINO ENERGY STRAWBERRY LIMON 270 G,variation,29,instock,29,instock,0,32.99,32.99,no,no
850039445798,CBUM PROTEINA 2 LBS  ITOLATE BIRTHAY CAKE,variation,1,outofstock,1,outofstock,0,54.99,54.99,no,no
810014679426,MULTIVITAMINAS 120 CAPSULAS,simple,3,outofstock,3,outofstock,0,29.99,29.99,no,no
859400007580,ISOFIT CHOCOLATE SHAKE 70 SERV 5 LBS NUTREX,variation,0,outofstock,0,outofstock,0,84.99,84.99,no,no
810121053980,EVP 3D POLAR CHRRY FROST- EVOGEN,variation,9,instock,9,instock,0,49.99,49.99,no,no
748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,variation,192,instock,192,instock,0,43.2,3.60,SI,SI
8101210579694,EVP 3D JUCY GRAPPE EVOGEN,variation,9,instock,9,instock,0,49.99,49.99,no,no
810121053560,EVP 3D STRAWBERRY LEMONADE-EVOGEN,variation,6,outofstock,6,outofstock,0,49.99,49.99,no,no
817189024549,AMINO K.E.M PATRIOT POP- EVOGEN,variation,9,instock,9,instock,0,45.99,45.99,no,no
853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,variation,1,outofstock,1,outofstock,0,84.99,84.99,no,no
817189020237,ISOJECT CHOCOLATE PEANUT BUTTER 1.97 LBS EVOGEN,variation,0,outofstock,0,outofstock,0,58.99,58.99,no,no
612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,simple,3,outofstock,3,outofstock,0,21.99,21.99,no,no
713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,variation,119,instock,119,instock,0,106.99,115.99,SI,SI
612590416033,MELATONIN10 MG 120 CAPSULAS- LANDERFIT,simple,21,instock,21,instock,0,23.99,23.99,no,no
666222941004,XPEL CAPS (MHP),simple,52,instock,51,instock,-1,25.99,25.99,no,SI
810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,variation,11,instock,11,instock,0,34.99,34.99,no,no
850030689252,LIVER HEALTHY REVIVE,simple,19,instock,19,instock,0,54.99,54.99,no,no
842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,variation,53,instock,52,instock,-1,45.6,3.80,SI,SI
842595131253,C4 PERFORMANCE 16OZ CHERRY,variation,74,instock,73,instock,-1,45.6,3.80,SI,SI
810121052105,ISOJECT FRUITYCREREAL 1.83 LBS ISOJET EVOGEN,variation,0,outofstock,0,outofstock,0,58.99,58.99,no,no
810121058015,CELL K.E.M PEACH RING,variation,4,outofstock,4,outofstock,0,54.99,54.99,no,no
810121057940,EVP XTREME N.O. JUCY GRAPPE-EVOGEN,variation,3,outofstock,3,outofstock,0,49.99,49.99,no,no
810121056417,ISOJECT CHOCOLATE PEANUTBUTTER BANANA 1.76 LBS ISOJET EVOGEN,variation,0,outofstock,0,outofstock,0,58.99,58.99,no,no
817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,variation,1,outofstock,1,outofstock,0,49.99,49.99,no,no
810121058954,EVP 3D BLACK LEMONADE-EVOGEN,variation,8,instock,8,instock,0,49.99,49.99,no,no
817189027762,EVP 3D SOUR CANDY- EVOGEN,variation,10,instock,10,instock,0,49.99,49.99,no,no
713101732014,PROLIVE BIO6 COCONUT 6 LBS IMPULSE,variation,0,outofstock,0,outofstock,0,106.99,115.99,SI,SI
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,simple,222,instock,221,instock,-1,44.99,44.99,no,SI
612590416002,AMINO REVOLUTION LANDERFIT RASPBERRY LEMONADE + ELECTROLITROS,variation,0,outofstock,0,outofstock,0,29.99,29.99,no,no
745560722206,THERMOBLAST M5 (FAT BURNER) 120 CAPS (QUEMADOR HOMBRE) IMPULSE,simple,0,outofstock,0,outofstock,0,25.99,25.99,no,no
810069201535,ANGRY SUPLEMENTS CREATINA 300 MG,simple,392,instock,388,instock,-4,24.99,24.99,no,SI
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,variation,1545,instock,1542,instock,-3,57.6,4.00,SI,SI
713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,variation,119,instock,118,instock,-1,106.99,115.99,SI,SI
748927066593,PROTEIN SHAKE CHOCOLATE 325 ML OPTIMUN NUTRICION,variation,82,instock,82,instock,0,57.6,4.00,SI,SI
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),variation,747,instock,745,instock,-2,57.6,5.00,SI,SI
